,scenario,run,src_risk,few_shot_risk,trg_risk
415,syn_47_to_dp_47,5,0.0093,3.2940,2.1846
416,syn_47_to_dp_47,6,0.0076,0.6869,0.8871
417,syn_47_to_dp_47,7,0.0052,1.5038,0.9864
418,syn_47_to_dp_47,8,0.0046,1.7579,1.1790
419,syn_47_to_dp_47,9,0.0079,1.1804,1.0120
420,syn_48_to_dp_48,0,0.0013,2.2455,2.7298
421,syn_48_to_dp_48,1,0.0020,2.6691,2.0517
422,syn_48_to_dp_48,2,0.0048,1.9060,1.6258
423,syn_48_to_dp_48,3,0.0013,1.9343,1.9330
424,syn_48_to_dp_48,4,0.0911,2.9065,1.8151
425,syn_48_to_dp_48,5,0.0077,2.2725,1.7603
426,syn_48_to_dp_48,6,0.0029,1.5390,2.6336
427,syn_48_to_dp_48,7,0.0009,1.8238,2.3630
428,syn_48_to_dp_48,8,0.0069,2.0637,2.3072
429,syn_48_to_dp_48,9,0.0073,2.9983,2.1475
430,syn_49_to_dp_49,0,0.0011,3.3477,1.9502
431,syn_49_to_dp_49,1,0.0014,2.3541,1.9806
432,syn_49_to_dp_49,2,0.0015,3.5649,2.2057
433,syn_49_to_dp_49,3,0.0068,2.5792,1.5903
434,syn_49_to_dp_49,4,0.0012,2.1874,1.3799
435,syn_49_to_dp_49,5,0.0071,4.2910,2.6939
436,syn_49_to_dp_49,6,0.0168,1.4546,2.5851
437,syn_49_to_dp_49,7,0.0024,2.5026,1.5538
438,syn_49_to_dp_49,8,0.0025,3.1253,1.7541
439,syn_49_to_dp_49,9,0.0021,2.2941,1.6041
440,syn_50_to_dp_50,0,0.0010,1.7765,1.3754
441,syn_50_to_dp_50,1,0.0073,0.8439,0.8593
442,syn_50_to_dp_50,2,0.0032,1.6218,1.2336
443,syn_50_to_dp_50,3,0.0014,1.3400,0.9988
444,syn_50_to_dp_50,4,0.0067,1.7175,2.1555
445,syn_50_to_dp_50,5,0.0012,1.5005,1.2635
